Capacitor(pF),ConversionTime,Power,CODE,CODE difference,linearity Error(%),No. of stages,number of precharge cells
256,5.61E-06,1.34E-04,2096,0.25,0.011927481,27,100
512,9.22E-06,1.63E-04,4193,1.5,0.035773909,27,100
1024,1.64E-05,1.83E-04,8383,0,0,27,100
1,2.02E-06,2.13E-06,7,-0.717773438,-10.25390625,29,100
2,2.03E-06,3.59E-06,16,0.564453125,3.527832031,29,100
4,2.06E-06,6.25E-06,30,-0.87109375,-2.903645833,29,100
8,2.11E-06,1.15E-05,61,-0.7421875,-1.21670082,29,100
16,2.22E-06,2.12E-05,123,-0.484375,-0.393800813,29,100
32,2.44E-06,3.81E-05,246,-0.96875,-0.393800813,29,100
64,2.87E-06,6.42E-05,495,1.0625,0.214646465,29,100
128,3.73E-06,9.80E-05,987,-0.875,-0.088652482,29,100
256,5.46E-06,1.34E-04,1976,0.25,0.012651822,29,100
512,8.91E-06,1.64E-04,3950,-1.5,-0.037974684,29,100
1024,1.58E-05,1.84E-04,7903,0,0,29,100
1,2.02E-06,2.12E-06,8,0.706054688,8.825683594,31,100
2,2.03E-06,3.48E-06,15,0.412109375,2.747395833,31,100
4,2.06E-06,6.16E-06,29,-0.17578125,-0.606142241,31,100
8,2.11E-06,1.11E-05,59,0.6484375,1.09904661,31,100
16,2.21E-06,2.08E-05,117,0.296875,0.253739316,31,100
32,2.42E-06,3.83E-05,233,-0.40625,-0.174356223,31,100
64,2.83E-06,6.32E-05,465,-1.8125,-0.389784946,31,100
128,3.66E-06,9.70E-05,932,-1.625,-0.174356223,31,100
256,5.32E-06,1.33E-04,1867,-0.25,-0.013390466,31,100
512,8.64E-06,1.64E-04,3735,0.5,0.013386881,31,100
1024,1.53E-05,1.86E-04,7469,0,0,31,100
1,failed,failed,failed,failed,failed,33,100
2,2.03E-06,3.38E-06,13,-0.830078125,-6.385216346,33,100
4,2.05E-06,6.04E-06,29,1.33984375,4.620150862,33,100
8,2.10E-06,1.10E-05,55,-0.3203125,-0.582386364,33,100
16,2.20E-06,2.04E-05,111,0.359375,0.323761261,33,100
32,2.40E-06,3.65E-05,221,-0.28125,-0.127262443,33,100
64,2.80E-06,6.22E-05,443,0.4375,0.098758465,33,100
128,3.60E-06,9.63E-05,887,1.875,0.211386697,33,100
256,5.20E-06,1.33E-04,1768,-2.25,-0.127262443,33,100
512,8.40E-06,1.65E-04,3542,1.5,0.042348955,33,100
1024,1.48E-05,1.87E-04,7081,0,0,33,100
1,failed,failed,failed,failed,failed,35,100
2,2.03E-06,3.39E-06,13,-0.15625,-1.201923077,35,100
4,2.05E-06,5.97E-06,27,0.6875,2.546296296,35,100
8,2.10E-06,1.08E-05,53,0.375,0.70754717,35,100
16,2.20E-06,2.00E-05,104,-1.25,-1.201923077,35,100
32,2.39E-06,3.59E-05,209,-1.5,-0.717703349,35,100
64,2.77E-06,6.12E-05,421,0,0,35,100
128,3.55E-06,9.55E-05,843,1,0.118623962,35,100
256,5.09E-06,1.33E-04,1683,-1,-0.059417706,35,100
512,8.18E-06,1.65E-04,3368,0,0,35,100
1024,1.44E-05,1.88E-04,6736,0,0,35,100
1,failed,failed,failed,failed,failed,37,100
2,2.03E-06,3.27E-06,13,0.46484375,3.575721154,37,100
4,2.05E-06,5.84E-06,26,0.9296875,3.575721154,37,100
8,2.10E-06,1.06E-05,51,0.859375,1.68504902,37,100
16,2.19E-06,1.96E-05,100,-0.28125,-0.28125,37,100
32,2.38E-06,3.53E-05,200,-0.5625,-0.28125,37,100
